abdul: munar dusay tabara soley albert jaime gasol tauler abdul ayza
alpine: alpino alpina alpinos alpine alpinas subalpino alpin subalpinos esquiadora edelweiss
altered: alterada alterado alterados alteradas alteraba alteró modificándose modificada alteraron cambiada
amazing: increíble asombroso asombrosa maravilla maravillosa increíbles asombrosas asombrosos fabulosa increible
ambassadors: embajadores embajadorde embajadoras embajadas diplomáticos nuncios plenipotenciarios cancilleres embajador amistosas
americas: américas américa yamérica centroamérica suramérica sudámerica iberoamérica sudamérica continente norteamérica
ammunition: municiones munición municio pertrechos armamento armamentos proyectiles ametralladoras ametrallador obuses
amy: debbie amy jessica sarah wendy rachel kellie cindy janet chloe
ancestry: ascendencia descendientes ascendencias ancestros descendencia descendiente ascendientes origen bisabuelos ascendiente
anchor: ancla cadena cadenas anclas anclar matinal copresentador teleno misceláneo cnn+
andrea: andrea antonella francesca giorgini daniele simone antonelli antonello giovanna melani
andré: andré léo philipe rodrigue sylvio thierry léandre boudet régis benjamin
andrews: andrews westley weston denison woods wharton mcgrath eagleton lonergan drews
angry: enojado enojada molesto indignada enfadada furiosa enfadar enfurecida enfadado despechada
ani: tablón tab bibliotecari yeza discu jmvkrecords discución ensada concenso roblespepe
annie: annie millie maggie edna sally margie ellie rosie dorothy sarah
announcement: anuncio anunciara anunciase anunciar anunciado anunciaran anuncie anunciando anuncia anunciados
antarctica: antártida antárticos antártico antártica antárticas subantártico antarctic transantárticas subantárticas subantártica
anthology: antología antológico antologías hispamérica hiperión menoscuarto antologia poemario coedición huerga
anton: anton nicolai valentin heino ignác maximilian isidor josef mariss ferdinand
anybody: nadie imagino preguntarme alguien hacerlo opinar sinceramente importa hago registrarme
apollo: apolo apollo marte faetón vesta epimeteo mercury venus saturno juno
appeals: apelación apelaciones tribunal apelada apelado casación contencioso suprema recusación conjuez
appreciated: agradecerá apreciando agradecer gracias agradecerte agradezco antemano agradecere apreciarlo cordialmente
approached: acercó dirigiese dirigiera contactó dirigirían aproximó encaran acercaron acercara dirigieran
arbitrators: checkusers proponente avalistas avales bibliotecarios verificadores biblios votan acads autopostulaciones
arcade: arcade arcades tetris outrun scrolling megadrive gradius simcity timesplitters warioware
archaeology: arqueología prehistoria arqueoastronomía protohistoria arqueologia iconología prehistórica paleoecología antropología paleoantropología
arch: tímpano mitrado coronamiento pórtico arco óculo peraltado arcos triforio arcuaciones
arctic: ártico árticas ártica árticos antártida antárticas bering antártico antártica antárticos
argues: argumenta argumentan afirma sostiene cuestiona plantea arguye cuestionan argumentado argumentó
arguing: argumentando objeción justificación cuestionamiento argumentación argumentar argumente argumentado contradicción argumentada
armament: armamento lanzatorpedos torpedos antitorpedos armamentop armamentos cañones blindaje torretas armament
armenia: armenia karabaj armenio azerbaiyán moldavia nagorno turquía rusias armenias kirguistán
armies: ejércitos ejercitos ejército huestes tropas hueste ejército» acaudillados combatiendo aliados
armor: coraza armadura armaduras corazas mantelete guantelete arma armor mechas megazord
armoured: blindada acorazada blindadas blindado blindados acorazadas semiorugas semioruga motorizada autopropulsada
armstrong: armstrong ranson dailey rushing pelton mccauley whiting landis bunnell butterfield
arrangements: arreglo arreglos arreglados arregladas instrumentó instrumentar instrumentaciones instrumentales instrumentos acompañamientos
array: conjunto array múltiples modulares consisten discretas consistentes arrays mapear complejas
arrive: llegan marchan arriban seguirlos buscarlo llevarlos detenerlos buscarlos llevárselos reunirse
arrives: llega marchan regresa regrese detiene acude huye escapa irrumpe dirigen
arriving: arribando arriban arribo arribar arribaron rumbo arribado dirigiéndose arribó embarcando
arrow: flecha flechas arrow halcón búmeran trazador rayo flechada flechazo bumerang
arsenal: arsenal arsenales destroyers _arsenal kashima gunners tottenham hotspur millwall fc
ash: caliche ceniza deposit ash brea tacita turba caldera trigal coal
assassination: atentado magnicidio asesinato complot conspirador magnicidas golpe conspiración perpetrado magnicidios
assertion: argumentativo argumentación argumente justificable justifico afirmación argumentado argumento fundamento aseveración
assignment: asignara asignación asignado asigno asignada asignaría reasignación asignó asignarle tarea
assists: asistencias lidere asistencia lideran asist rebotes reboteadores consecución reboteadora reboteador
associates: associates asociaron partners promotores asociándose colaboradores responsables asociados coautores financiadores
assumption: suposición presuponiendo asunciones asuncion presuponer colación presupone perentorio desconocemos categórico
atlas: atlas taurus atlant babar ,con tolar antares anuario mapa kosmos
atomic: atómica atómico atómicos atómicas subatómica nuclear subatómicas atomics energía» atomic
atp: atp itf challenger títulosindividuales wta tenístico tenística challengers tier recordindividuales
attract: atraer atraerse captar acaparar atraídos atrae atraen atrayentes interesar atraídas
attraction: atracción atracciones atractivo atraen atractivos atrae atraídas exótico temático turísticamente
audiences: audiencias oyentes espectadores televidentes telespectadores cinéfilos público entretenimientos audiencia dispares
authorized: autorizada autorizó autorizado autorizaba autorizo autoriza autorizase autorizados autorizando autorizaban
autobiography: autobiografía autobiográfico autobiográficas autobiografías autobiográfica autobiografia autobiográficos novelado novelada autobiography
automated: automatizada automatizado automatizadas automatiza automatizados automática automatizar automatica automatización automático
automobile: automovilística automóvil automóviles automobil automobile automovilísticos automovilísticas automobili automotor automobiles
aux: baleine partie antiques pardon elles romans mains aux perdu passage
auxiliary: auxiliar auxiliares auxilia auxiliada auxiliado auxiliando auxiliary auxiliados oyague oficiales•
bach: bach bwv cantatas buxtehude pachelbel henze lieder telemann haydn brahms
bacteria: bacterias microorganismos bacterianos anaerobios microbios microorganismo aerobios bacterianas bacteria bactericidas
baden: baden württemberg wurttemberg wurtemberg muskau naumburg würtemberg schlettstadt naumburgo rudolstadt
badge: insignia estandarte emblema insignias boina lancero chevrón distintivo fajín escarapela
bag: bolso bolsita bolsitas valija mochila maletín maleta carrito bolsas botiquín
bailey: bailey lane braithwaite malloy meldrum milligan dailey lyons griffin engle
balls: bolas pelotas palos canicas bolitas bola trompos bolillos pinchos bastones
baltic: báltico báltica bálticos bálticas curlandia murmansk carelia estonias helgoland pomor
barely: apenas poco sólo siquiera nada solo pocos desgraciadamente casi tan
barnes: barnes munroe banks griffin mccourt tiffin moore martindale reece archer
baroque: barroca barroco renacentista barrocos barrocas tardobarroco neorrenacentista tardogótica renacentistas tardogótico
barrier: barrera barreras infranqueable sobrepaso contención limitado obstáculo substrato limitador fluyan
bars: barras bares sidrerías barra tenderetes tapas ruletas cafés pinchos grilletes
batman: batman batwoman catwoman superman riddler manhunter gotham superwoman batgirl guasón
bats: caimanes plataneros bats cuones cangrejeros tigres sietes peloteros yacarés cones
bavaria: baviera palatinado suabia turingia wurtemberg sajonia bávara rheinfels altenburgo lauenburgo
beaten: vengándose doblegó cayendo caería derrotándola sorpresivamente vencerse vencer superándolo consiguiéndolo
beatles: beatles beatles» beatlemanía beatle kinks pixies radiohead ramones byrds supertramp
bee: abeja escarabajo hormiga bee abejorro koa oruga cigarra chinche paras
beetle: insecto arácnido escarabajo leptispa chalepus apophylia aphthona coleoptero hoplosaenidea trachyaphthona
beetles: escarabajos polífagos coleópteros curculiónidos hemípteros adéfagos insectos isópteras gorgojos termitas
belfast: belfast dublín cork glasgow londonderry derry belfastinos westmeath edimburgo kirkcaldy
belgrade: belgrado liubliana podgorica zagreb belgrade niš priština osijek bratislava rijeka
believing: creer creyendo creen convencerse creyeran sabiendas conscientemente creencia ciegamente creyera
bench: banquillo gallardón banquillos zaga valdano titular portería suplencia mancuello titularidad
bet: bet ganen aod plim ¿cuánto ganarás envido shilinsky dimes mordecai
betty: betty mary millie velma cindy hanna edna elizabeth jeannie josie
biased: sesgado sesgada tendenciosa criticable sesgo tendencioso sesgadas neutral tergiversada justificable
biblical: bíblica bíblico bíblicos bíblicas biblia hebrea judeocristiana tanaj escatología judeocristiano
bicycle: bicicleta bicicletas bici ciclomotor peatón bicis ciclista cicloturista ciclistas cicloturismo
bike: bicicleta bici bicicletas ciclomotor motocicleta bike peatón bicis bikes cicloturista
bills: canjeados loterías vientres recortes cobrados supletorias prórrogas suplementarios parados cupones
binding: sustitutiva binding pde constitutiva coactiva cofactores cofactor mediadores bindings interaccionar
births: nacimientos defunciones nacidos nacimientos/ fallecimientos ―o nacidas abortos nacimiento» embarazos
bits: bytes enteros bits byte hilos octetos entero formateados intercalares capicúa
blade: cortador puñal cuchillas puño mandril alado amartillado ranurado afilado calibur
blair: blair whiteley mccormack tripp atwell dearden cameron layne erroll deveraux
blake: blake cole courtney mcneill mctaggart james brendon bronwyn fitzgerald lindsay
blogs: blogs weblogs autopublicaciones blogosfera autopublicados periodicos foros bitácoras kaosenlared webs
blow: golpearse caerle golpear asestar romperlo caer empujarlo acabarlo asestarle arrancarle
boarding: regentada regentado internado institutrices paúles alquilada refugiadas señoritas regentan escolarizada
boeing: boeing airbus aeronave embraer airliner aeronaves aerojet avión skytrain gulfstream
bolivia: bolivia perú colombia honduras ecuador tolima paraguay quinindé ucayali pichincha
bomber: bombardero cazabombardero cazabombarderos bombarderos bomber cazas bombardera interceptor polikarpov bimotor
bombers: bombarderos cazabombarderos cazas bombardero cazabombardero portaviones bombardera skyhawk interceptores portaaviones
bonds: bonos inversos intermediarios balances prestatarios invertidos canje estables bonds trusts
bones: huesos óseos hueso vísceras omóplato cráneos cráneo escápulas fémures estómagos
boom: boom bonanza auge decada vertiginoso bananero lustro acelerado yumbo burbuja
bots: bots avbot fastbuttons mediawiki rollback toolserver grillitus //toolserver proxies huggle
boulevard: boulevard bulevard boulevar bulevar avenida avenue blvd bulevares alameda paseo
bow: botalón palo carcaj jalar botar culote desenfunda mosquete fusō canasto
boxer: boxeador exboxeador boxeadora púgil luchador excampeón boxeadores kickboxer semipesado peleador
boxers: boxeadores marchadores púgiles culturistas luchadores deportistas karatecas esgrimistas boxers halterófilos
bradford: bradford stanfield dartford carlisle northampton oldham brighton whittlesey gillingham sheffield
brad: josh jakes corey pete johnathan jake jared aaron jeremy ryan
bradley: bradley harrington howard easley slattery hester beasley alden judson godley
brandon: brandon randon derrick dennis brett ryan brad dave brent mark
brass: cornetas tambor latón tambores corneta fanfarrias trompetas fanfarria pieza campana
bread: harina cocido hogaza pan chorizo panes chorizos tortillas puchero escabeche
breed: cría criadores mular cautividad mastín avutarda criador criar crían podenco
breeding: cría crían cautividad nidificación invernada reproductiva crianza crías críalo nidificar
brien: brien connor malley farrell kavanagh macdougall craig james meaney connell
brigadier: brigadier coronel teniente brigadieres subteniente excomandante comandante brigada comandante_actual cnel
brighton: brighton southampton southport merseyside islington colchester bournemouth fairfield deptford newport
broadcasts: retransmitiendo retransmisiones retransmitía retransmite retransmiten retransmisión retransmitidos trasmisiones retransmitir simulcast
brook: liard verdigris river» ouse wye creston tamesis albee buncombe berwyn
brooks: brooks blondell cummings newhart newmark mccauley simpkins jeffries mccutcheon willis
bros: bros warner touchstone productions recordswarner distribuidora pictures ducktales kricfalusi brothers
browser: navegador navegadores browser firefox javascript webkit previsualización previsualizar midp sqlite
bruno: bruno bastian seligmann carbone salvator venturini marotta mauro sylvio germani
brussels: bruselas parís gante brussel lieja charleroi amberes bruselenses lille verviers
budapest: budapest debrecen budapesti miskolc szeged kaposvár szolnok daegu viena praga
buddhism: budismo theravada lamaísmo confucianismo jainismo theravāda taoísmo yainismo budista hinduismo
builder: constructor arquitecto reconstructor proyectista aparejador construc construido construirlo construyo organero
bulk: grueso restante graneles granel concentrado resto acopio material trasiego deshechos
bullet: bala balas disparador disparada pistola proyectil metralla disparado perdigones escopeta
burials: sepultados entierros cementerios enterramientos enterramiento cementerio funerarios sepulturas inhumados inhumación
burke: burke crowell tolson morgan sidgwick hutton stowell boswell carver cobbett
burma: burma birmania indochina manipur ryūkyū buganda etiopía bechuanalandia assam timor
burned: quemó quemara quemaron incendió ardió quemado quemando quemándose quemados ardieron
burn: quemar quemarlo quemarla quemarse quemarlos quemara arder queman limpiarlo rociar
burton: burton butterfield badham dewhurst garwood bartley ravenscroft bowles cottle ackroyd
busy: ajetreada aparcada apartada tardando laborando trajín dedicarla cartelería menesteres apurada
butterfly: mariposa mariposario mariposas butterfly chroma ,con poliladron elefanta bayadera saltadora
cairo: cairo beirut jartum estambul cairotas sfax lúxor bagdad marrakech amman
calgary: toronto calgary dallas chicago edmonton seattle oaks detroit vancouver kelowna
cameras: videocámaras videocámara cámaras magnetoscopios videovigilancia autofoco visores megapíxeles televisores periscopios
cannon: gatling howitzer avancarga proyectiles sharps disparados bushmaster proyectil balas pistol
canon: canon canónico cánon canónicos cánones escoto gregoriana svd canones ambrosiano
canterbury: canterbury durham dunstable dunblane bishops minster westminster dunstan christchurch malmesbury
canyon: canyon wasatch creek mojave valley truckee springs divisadero klamath umpqua
capabilities: capacidades optimizados avanzadas inteligentes sofisticados portabilidad dispositivos soporte operacionales capacidad
capita: cápita pib_per_cápita capita pib_nominal_per_cápita renta pib_per_capita per pib unidades/km² $$
capitol: capitol capitolio trax shinhwa metropólitan nyc saeng arc~en~ciel bachué milkyway
cardiff: cardiff glasgow newcastle belfast leeds birmingham birminghenses mánchester edimburgo bournemouth
careful: cuidadosa cuidadoso cuidadosos correcta cuidadosas concienzuda acertada acertado oportunas adecuada
carefully: cuidadosamente concienzudamente meticulosamente adecuadamente convenientemente apropiadamente correctamente cuidadosas escrupulosamente minuciosamente
carlo: carlo corrado riccio tagliani gianfrancesco ruggero enrico marcello pozzo felice
carol: carol elizabeth nanette jane rosemary madeline rosie arlene loretta meg
caroline: caroline charlotte jennie eleanora helen louisa josephine anne laurie pauline
carroll: carroll stanton wellman skelton dickenson cummings worthy carrol hester gossett
cartoon: caricatura caricaturas animada caricaturizado piolín animados animado cartoon stimpy cartoons
casey: casey chuck jacki mccall allie cavanaugh dodger mcreary emmett tomlin
casino: casino casinos resort caesars boutique bellagio riviera boutiques hotel resorts
casting: casting papel actoral actorales protagónica interpretación rodaje reposición posproducción protagónico
catalog: catálogo catálogos catalogo coleccionó recopila colección colecciona coleccionando coleccion coleccionado
catalogue: catálogo catálogos catalogo colección collección monográfico coleccionó colecciones coleccionado coleccionaba
catholics: católicos protestantes excatólicos laicos católicas anglicanos trinitarios calvinistas marianistas canonistas
celebrate: celebrar festejar rememorar homenajear celebrarlo festejaron conmemorar celebrando festejado celebración
celebrity: celebridad celebridades farándula realitys showman mediático mediáticas celebrities telerrealidad showmatch
cent: cent ciento  % capita cents sucres quinientos centavo bruto cl$
centered: centrada centrado centrando centradas centraba vinculándola descentrada enmarcada abarcando enmarca
centres: centros institutos subsectores neurálgicos establecimientos sectores centro consultorios núcleos itinerantes
certificate: certificado expedido acreditativo diploma certifica credencial registral perito certificaba certificarse
certification: certificación certificadora certificaciones certificada certificado certifica certificar certificadas certifique certifican
challenged: desafiado desafiada desafió impugnada impugnado descalificando impugnar desafiaron desafiar calificaría
chambers: cámaras lobby greens smoot carter cámara jaha hiram noyes natos
chapters: capítulos redactan capítulo prólogos fundacionales recensiones introductorios coloquios redactadas tomos
charleston: charleston tampa charlottesville charlestown omaha honolulú wilmington charlottetown greenville tallahassee
chat: chat charlar ¿conversación comunicarte chats ¡claro comunicarme chatear comunique talk
checking: comprobación verificación comprobaciones verificaciones revisas verificando chequear corrección comprobará comprobé
chelsea: chelsea tottenham manchester ipswich brighton highbury liverpool hotspur fulham motherwell
cherry: nance cherry blush grape grapes cranberry pecan barbecue plum lime
chi: chi sho handa sammo ho ammo kaphwan shuto thayil fat
chicken: pollo gallina mondongo picadillo chuleta cerdo pollito puchero puerco chicharrón
chilean: chileno chileno» peruano chilena chilenos chilenas chile, arequipeño chilena» arequipeña
chip: chip chips simm microchip chunky microchips procesador pokey poke stick
chronicle: crónica crónicas cronista chronicle cronica chronica corónica cronicón heraldo cronicas
chuck: chuck sparky zack joey skips charlie jack freddie matt carlie
churchill: churchill winston chamberlain wellesley orwell gort welles fieldhouse thatcher roosevelt
cia: cia contrainteligencia fbi nsa contraespionaje bnd interpol espionaje cointelpro inteligencia
circles: círculos circulos círculo circulo diametralmente facetas rumbos pentagramas rodeándose semicírculos
circular: circular circulares helicoidal acodada circularidad concéntrica romboidal superpuesta alineadas invertida
circulation: circulación circulante circulaciones circulantes tiraje circulado tirada circulando circulaba mensual
circus: circo circense circus tiovivo saltimbanquis trapecista guiñol tricicle tábano circenses
cites: citan citar mencione mencionan menciona referencian véanse señala comentado indique
civilians: heridos perpetrados civiles perpetradores perpetraron brigadistas combatientes desarmados asesinados masacrados
claire: claire catherine julie corinne estelle elle annabelle leanne felicity blaire
clara: ramona martha clarissa eleanora amelia elmira lummis josepha martita elizabeth
clarify: aclarar clarificar aclararlo explicitar comentar objetar explicarte plantearlo explicarlo aclararme
classics: clásicos clásicas clásica egales zafón classics astracanada clásico clásica» fantoches
claude: claude fréderic jacquet jacque jean camille fernand charles béranger martine
clause: cláusula cláusulas supletorio clausula terminante contracto sancionador lesivo absolutoria condicional
cleaned: limpiado quitando limpiarlo limpiando limpiados limpiarla limpian arreglando conservarlas colocarlas
cleared: despejando despejar despeja despejaron despejó adelantadas quedando allanando aclaradas adelantando
clergy: clero clérigos laicos eclesiásticos seglares prelados sacerdotes eclesiásticas obispos presbíteros
clients: clientes cliente clientas proveedores corporativos clientelares empleadores clientelar demandados clientela
cliff: acantilado precipicio cliff monte parbat lofty maro summitpost precipicios monadnock
climb: subir subirse escaladores escalar trepar escalando ascender bajar trepada escalador
clothes: ropas ropa prendas vestidos sábanas zapatos harapos vestimentas pelucas toallas
cluster: cluster clúster clusters cumulo clústeres globular múltiple clústers globulares distantes
cnn: cnn msnbc reuters reportera cnbc noticiosas reporteras ntn emol euronews
cognitive: cognitiva cognitivo cognitivos cognición cognitivas conductual cognoscitiva conductuales neurolingüística psicomotriz
cohen: cohen sussman levinson freedman burstein geller feinstein levy berman finkelstein
coin: monedas moneda denario acuñadas numismático acuñarse céntimo acuñaciones acuñación billete
collaborated: colaboraron colaborarían colaboraría colaboró colaborado trabajaron colaborara colaboraban colaborando ​​con
collapse: colapso derrumbe derrumbamiento desplome colapsara colapsar colapsó desmoronamiento colapsos colapsarse
collapsed: derrumbó colapsó colapsara derrumbaron desplomó derrumbara desplomaron derrumbándose colapsaron derrumbe
colleagues: colegas colaboradores allegados colega examinaron expresaron mostraron analizaron compañeros sugirieron
collecting: recolecciones recolectando recolección colectando coleccionando colecta colectas colectar recolectar recogiendo
collector: coleccionista coleccionado coleccionismo colecciona coleccionaba coleccionó coleccionable coleccionando coleccionistas coleccionar
collect: recolectar recoger colectar recogerlas recolectando recogerlos coleccionar recolectaron recolecta colectas
collegiate: colegial intercolegial collegiate intercollegiate ncaa senior basketball colleges canisius universitarias
colored: coloreada colorean coloreado coloreando coloreados morado ocre coloreadas colorea multicolores
colours: colores tricolores bicolores azules multicolores colorean azul coloreados rojo colorido
comedian: comediante humorista actor cómico comedian monologuista comediantes humorístico comediants imitador
commanders: comandantes lugartenientes mandos coroneles militares comandaban tenientes comandancias jefes comandaron
commands: comandos mandos comando ordenes instrucciones rtas operandos órdenes subordinado etiqueta_comandante
commitment: compromiso satisfacción compromisos convicción desinterés desenvolvimiento convencimiento mutuo comprometido superación
committees: comités comisiones consultivos consultivas colegiados interinstitucionales sectoriales legislativos secretarías subcomisiones
compact: compacto compactos compacta compact compactada compactar compactas compactado compactados compacidad
comparable: comparable equiparable comparables semejante equiparables compararse concebible equivalente compararla similar
compensation: indemnizaciones indemnización compensaciones compensación indemnizar contraprestación remuneraciones pagara resarcimiento perjuicios
compiled: compiló compilaron compilando recopilado recopilaron compiladas recopilados compilaba compila compilan
complaint: denuncia denuncio denuncié queja denuncias denunciante alegaciones denuncie denunciara denunciado
complaints: quejas denuncias reclamos queja solicitudes denunciantes peticiones señalamientos denunciados desestimados
complement: complementar complementados complemento complemente complementarios complementadas complementando complementaron complementario complementado
completing: completando completar completó completándose completaría completará completara completarían completándola completarse
complicated: complicada solucionada compleja complicados complicadas implicada resuelta complicado complica simplificada
compounds: policíclicos quelantes bioactivos fenólicos oxácidos halogenados inorgánicos isocianatos oxidantes alifáticos
compromise: inconveniencia conveniencia contrapropuesta conveniencias sopesar convenir consenso solucionara proponerlo solucionarlo
concentrated: concentrada concentrando concentrándose concentrado concentrados concentraba concentradas concentrase concentraría concentra
concerto: concerto sinfonía sonatas concertante concertos sinfonia sonata sinfonías sonatina violonchelo
confederation: confederación confederacion confederaciones confederal confederacy federaciones confederada confederation confederado confederadas
conferences: conferencias conferenciantes congresos conferencistas seminarios conferenciar coloquios reuniones conferencia simposios
confidence: confianza celeridad indecisión convencimiento acierto autoconfianza confianza» desinterés desaprobación sensatez
configuration: configuración configuraciones direccionamiento reconfiguración configurado direccionado direccionales reemplazamiento configurable direccional
confirm: confirmar confirmarlo comprobar confirme comprobarlo corroborar confirmarse confirmen indicarle verificarse
confusing: confusa confunda confuso confusión entendible incorrecto confusiones imprecisa comprensible ambiguo
conjunction: conjuntamente conjunta conjuntas conjuntar simultánea cabo juntamente coordina intensivas esl
connects: conecta conectan conectando conectándose conectará conectándola comunica comunican conectaría conectaba
connor: connor keogh kieran keating kellaway mccallum macguire kiely brendan malley
conquest: conquista reconquista conquistadora conquistas conquistada reconquistados reconquistado conquistados conquistaba conquistador
consciousness: consciencia conciencia inconsciencia autoconciencia psiquismo corpórea conciencias autoconocimiento subconsciente corpóreo
consent: consentimiento consentir consentía consentido consentidas consentidos civilmente consentida potestad contrayentes
consequence: consecuencia consecuente consiguiente consecuentemente consecuentes resultado resultas conllevado subsiguiente debida
consequences: consecuencias consecuentes desencadenantes inevitables afrontamiento repercusiones conllevado imprevisibles desencadenante conllevan
consequently: consecuentemente consiguientemente consiguiente consecuencia debido tanto subsiguientemente crecientemente contrariamente dramáticamente
considerably: considerablemente notablemente significativamente sustancialmente sensiblemente apreciablemente notoriamente substancialmente drásticamente ostensiblemente
considers: considera opone defiende consideran cuestiona considerará reconoce plantea admitirá concierne
consist: constan conformadas consistiendo consisten componen constituidos formadas consistir conformados intercaladas
consistently: consistentemente aceptablemente continuadamente insistentemente enfáticamente convincentemente persistentemente críticamente acertadamente significantemente
constantly: constantemente continuamente incesantemente distantemente alarmantemente impulsivamente ingenuamente descuidadamente obsesivamente insistentemente
construct: construir construirlas construirse construirlos construirla construirlo construirle estructurar construya reconstruir
consultant: consultor asesor asesora analista coordinador consultora gerente asesoró subdirector subdirectora
consumption: consumo consumición autoconsumo consumos consumir consumido consumen alimentario consumidora consumida
contestants: concursantes concursante concursan concursando concursar participantes concursa concursaron concursado finalistas
continent: continente continentes subcontinente oceanía áfrica suramérica yamérica sudamérica país magreb
contracts: contratos contratantes contractuales contrataciones contratante contratas contraten contractualmente precontrato contratación
contributors: contribuidores redactores colaboradores aportaciones aportes contribuyentes nóveles contribuciones proponentes aporten
controls: controles controla controle controlan controlas controlen controlables controlará controlable controlamos
conventions: convenciones convención reglas concordantes convencion congresos celebrados atemporales normativas normas
convert: convertir conversión convertirlos convertirlas convertirlo transformar conversor conversiones transformarlos utilizarlo
convince: convencer convencerles convencerlos convencerle convencerlo convencerse persuadirlo persuadirle persuadirla persuadir
convoy: convoy flotilla convoyes zarpar zarpando flotillas warspite zarpó escuadra zarparon
