abdul: abdulrahman nasir zakir saeed hussain muhammadu abdelrahman fahad abdul mohamad
amy: melania samanthy samantha marge dianna lucy sharon jenny katie adrianne
ana: ana camili ado nuria mojica yola nneka ariza yolanda camila
andrea: andrea paola gianna claudia sebastiana aniello drea paolę patrizio bianca
andré: andré oury rené jean lefèbvre léonard alphons claud pierre-andré claude
andrews: sobiszewski zawitkowski czerwiński leciejewski fabiszewski szymkowiak dobiszewski balcerek maciejewski wiechowski
angry: zdenerwować rozpłakać przestraszyć rozżalić przerazić zniecierpliwić nastraszyć uprzykrzyć wystraszyć podpuścić
announcement: zapowiedzieć zapowiedź oficjalny poinformować zaanonsować ogłosić intencyjny anonsować sierpniowy oświadczyć
antarctica: antarktyda transantarktycznych arctowski spitsbergen antarktyka antarktyczny subantarktyczny tatra arktyka śródatlantycki
anthology: antologia opowiadanie proza fantastyka-przygoda arcana prozatorski przekładaniec poezja literacki minipowieść
anton: anton valentin eduard vladimir nikolai dimitrij strelnikoff vladimirs georg alexandr
anybody: ktokolwiek ktoś nikt adminliście powinieneś moglibyście gdybyście coś chcielibyście zrobiliście
apollo: apollo merkury saturn-apollo prometeusz juno jowisz ceres junony kalliope demeter
app: notification notifications booking targeting trends dating pref templatemonster posting online
arcade: residence midtown mansion curtain weapons quarter mansions spaced folly residences
arch: pięcioprzęsłowy mur triq brama zwieńczać architraw trójprzęsłowa jednoprzęsłowy belkowy trójprzęsłowy
armor: pancerz zbroja pancerka kolczuga uzbroić opancerzyć kuloodporny pancer ekwipunek rynsztunek
armstrong: chełstowski 1957-1972 1957-1970 trojanowski woszczyński krzyżański owczarzak kotecki piechaczek nosowski
arrive: wyruszać przybywać przybyć zjawić umówić udawać przyjazd odlatywać ruszać natrafiać
arrow: strzała strzałka opak ostrzew skrzydlaty lanca rumak rogacina zaćwieczony sztylet
arsenal: arsenał arsenal arsenalowi chimki goalkeeper reds beniaminek bramkarski stoczniowiec arsenalski
ashley: dominicki holly kozlowski pierson zachary martyna beckie chrissy ducka brianna
ash: piaskowy piasek śmietanowy popiół 2954 siwalik salata żwirek wapniarka malachy
assassination: zamach zabójstwo zamachowiec zamordować terrorystyczny skrytobójstwo spiskowiec pucz skrytobójczy zastrzelić
assignment: przydział przydzielić przydzielać przygotowawczy oddelegować fortragować instrukcyjny przesłużyć zadanie instrukcja
assumption: błędność mikronacja kwantyfikacja asumpt tzn łaskawy domniemywać nieprawdopodobieństwo istotność nieistotność
atlas: atlas 2777 rozsz expressmap sentinel exploration scopus 2034 2770 egros
atp: atp pga delray lewozapolowego asb challenger zapolowego tour prawozapolowego itf
attraction: atrakcja atrakcyjność przyciągać atrakcyjny bliskość atrakcyjnie lunapark osobliwość kręcić się
attract: przyciągnąć przyciągać atrakcyjność odstraszyć atrakcyjny atrakcyjnie pozyskać potencjalny uatrakcyjnić zwabić
autobiography: autobiografia autobiograficzny autobiography wspomnienie wspomnieniowy życiorys biografia książka przedmowa ośmiotomowy
automobile: motoryzacyjny automobiles automobilowy samochodowy mikrosamochód samochód motoryzacja automobil automobilista automet
auxiliary: pomocniczy polowy auxiliary 1916-1919 1916-1917 służyć 1917-1919 odsłużyć pmh 1914-1916
aux: visitation aux rues l filles chapitre charmes beaux moines réunion
bach: bach brahms magg webern haendel schütz schuberth telemann pachelbel weill
bacteria: bakteria zewnątrzkomórkowy wewnątrzkomórkowy mikroorganizm gram-dodatnich pozakomórkowy bakteriochlorofil clostridium polisacharyd gram-ujemnych
baden: marburg-biedenkopf weimarer nürtingen neuburg-schrobenhausen wetterau wirtemberg hardegg schmalkalden-meiningen neu-ulm bielitz
badge: naszywka odznaka baretka oznaka proporczyk biało-czerwonej sztandar biało-czerwonym biało-czerwoną biało-czerwony
bag: metka karteczka szmata saszetka pakunek kapsel torba pudełko zapakować śpiwór
bailey: mołek maciejak magdziarz karczmarczyk bujakiewicz urbanek robakiewicz peszek grzegorek magdziński
baldwin: koter rejmer przemankowa jerzy braszka stawiński noszak anusz warchał chudeusz
bang: namesake bang heisei thang buddah riken seiken kull kinda wah
barely: ledwo ledwie poza niewiele zauważalnie niemalże niezauważalnie tył połowicznie nieco
barnes: robaszkiewicz wójtowicz boćkowski cieślikowski gawkowski leszkiewicz grzegorek sitkowski burlikowski wojtaszczyk
baroque: barok barokowy renesansowy manierystyczny wczesnorenesansowy wczesnobarokowy rokoko renesans rokokowy wczesnoklasycystyczny
barrel: nabojowy prochowy spustowy magazynek rewolwerowy nożowy rurowy kapiszonowy lufa śrutowy
barrier: bariera barierowy przegrodzić ochronny newralgiczny wodochronny odgrodzić zakotwić chronić igielny
bassist: perkusista klawiszowiec gitarzysta basista keyboardzista perkusistka dimebag dimebaga whitesnake frontman
batman: batman batwoman batgirl punisher megamocny dekaranger catwoman tamera punishera lupin
bce: chr jōmon maurjów babiloński starobabilońskiego ptolemejski nowobabilońskiego ptolemeuszy e kasyckiej
beast: potwór bestia nieumarły mothry gargulec manhunter kakuranger nożycoręki grudge godzilla
beatles: beatles jimi knż mitffoch hendrixa maanamu hendrix nagraliśmy supertramp happysad
beck: blech lerch asmus lercher kroll schuchardt radek orlowski bartos wadera
bee: szerszeń chrabąszcz szarak świerszczak ćma skakun cykada szarańczak szpak trzmiel
beetle: modraszkowate kałużnicowate krzyżakowate mrówkowate stonkowate kusakowaty truflowate chrabąszcz pokrzewkowate sprężykowate
belarus: wnp białoruś miedwiedi rosja ukraina chabarow kaliningradzki nowoje pietrozawodsk chabarowski
belfast: suwałki łowicz małkinia siedlec ostrołęka kutno święcian skierniewice włocławek zambrów
bend: poszewka grzmieć skierniewka podkowa kłębowy sierpowy jegłownik gunica osieczek kłębowisko
berry: jakubka czereśniak jagoda marchewa sarniak marchewka marchewkowy sałacka sykut-jeżyna firlet
bet: gim esz gold wawa rishon tig bukmacher neve cwa ot
betty: molly pani betty joasia sublokatorka lillian centka lili anielka ruth
biased: nieobiektywny stronniczy nierzetelnie nierzetelny nieprawdziwy neutralnie rzetelny niekontrowersyjny nieakceptowalny przezemnie
bicycle: rower motorowerowy rowerowy rowerzysta motorower samochodowy off-road motorowy handbike gokart
bike: rower rowerzysta motorowerowy rowerowy 4km bike gokart motocrossowy enduro crossowy
births: urodzenie 90 zgon urodziny 80 70 siedemset umieralność 60 narodziny
blair: maciborek zdrojewski milczanowski wilczyk rzeszewski grabska kosikowski klich wojtaszek pawełkiewicz
blake: stabrowski dymkowski maryniewski jankiewicz konarowski osentowski kalicki danielewski blake anderman
blow: zadławić wyrwać wypchnąć rozlec zdzierać buchnąć uderzyć rozerwać rozlecieć wbić
boeing: l-1011 md-11 737-400 737-300 a330 airbus gulfstream l-10 md-90 samolot
bombardment: bombardować bombardowanie nalot powietrzno-morskiej bojowy zbombardować rozminować artyleryjski bombardment przeciwpartyzancki
bomber: bombowy raf bombowiec me-109 beaufighter po-2 bombowo-rozpoznawczego p-38 myśliwiec szturmowy
bones: kość czaszka szkielet piszczel trzewioczaszka odcisk palec szczęka kieł skrobak
boom: boom anaconda loft loom pusher roe fishin fisherman saling crayola
boris: boris oleg igor mstisław titowa michaił titow tabakow iljicz władisław
boulevard: ulica bulwar aleja promenada śródmieście esplanade pradze-południe boulevard promenade promenadowy
bow: głownia kolczy łeb pawęż tonfa kamasz fokmaszt żelazny okręcić drzewce
boxer: bokser pięściarz pięściarka kickbokser piórkowy superpiórkowy weteranka koguci amerykanin zawodowiec
bradford: łódzki częstochowianin bełchatowski zgierz susiec lućmierz piechna czechowic-dziedzic koluszki pajęczański
bradley: imiela idziak karwan stasiak pawełkiewicz sadowski księżarczyk kaliciak kaźmierczyk wojtaszek
brad: sebastian bastian bartosz brad mick gara warny narloch chris alex
brandon: antolin nobby dolan porl majek marlon martian roman masterson palin
brass: mosiężny dąć blaszany pedałowy mosiądz wiolinowy stroikowy jednoczęściowy piszczałkowy kontuar
bread: chleb masło wypiekać mąka pieczywo szynka nabiał konfitura wypiek mleko
breast: pierś sutek ciążowy noworodek brzuch białaczka nowotwór podbrzusze rak tarczycowy
breeding: hodowlany rozród hodowla hodować osobnik zaobrączkować reintrodukować rozmnażać moręgowany bażant
breed: krótkowłosy rasa hodowca zimnokrwisty długowłosy łydkowłosy gorącokrwisty umaścić szorstkowłosy gładkowłosy
brien: umer rogacewicz suszyński tomsia dylewicz seniuk racewicz mielańczuk ankudowicz mularczyk
brigadier: pułkownik podpułkownik ppłka kwatermistrz mjr adiutant płka generał sztab oficer
brighton: otwock falenica lublinek siedlec legionowo wołomin targówek gdyni-orłowie prostyń lublin
brooks: sosiński szewczyk marchwiński bryniarski sobczyński abratowski bujakiewicz pliński dancewicz siwczyk
brook: wyżnica stefanówka orzyca wiercica sarcze debrza zbrzyca dunajek żarnówka trzebyczka
bros: bros warner brothers greasy genetix vivid productions boy legendary bloodlines
browser: firefoxa przeglądarka monobook firefoksa firefox firefoxie przeglądarkowa pywikipediabot toolserver toolbar
bruno: sylvester michell bruno silvester dominick fernandel bullard michel pauley dennis
brussels: bruksela bruksela-charleroi brukselski schaerbeek gandawa liège paryż-bruksela brukselka brussels etterbeek
budapest: budapeszt budapeszteński budapesti budapest budapesztański szombathely nagykanizsa keszthely segedynie fehérvár
buddhism: buddyzm therawada taoizm dżinizm theravāda buddysta theravady buddyjski buddystka dźinizm
builder: budowniczy budowlanka projektant budowlaniec współprojektant architekt konstruktor zbud budowlany projektowy
bullet: wystrzałowy postrzałowy strzał strzałowy strzelać wystrzał cal nabój maczeta odłamek
bunch: zbieranina kwiatek zliczarka mnóstwo nazbierać machnąć choinkowy klikać pierdoła polandball
burke: domalewski siemińska siemiński barczewski spasowicz bałuszyński sipowicz orzechowski augusiewicz drabowicz
burn: wypalić popiół rozlec bielić rozgrzać rozgrzebać smalić grzać spalenizna spalić
burton: wieczorkowski siemiński piekutowski ławski szczerski ozorkowski ziębiński wawrowski olbromski brzęczkowski
butterfly: maskowy sumida zalotka kumak linoskoczek nausitous motylek zaskroniec jaskółka fenek
cabin: prycza kabina kajuta kemping bagażowy biwakowy fotelik ucieczkowy kubryk kanapa
cannon: armatni kaem granatnik wystrzałowy armata laweta odprzodowy gatlinga kartacz rakietnica
canon: kanoniczny kanon kanoniczka kanoniczy kanonicki kanoniczność niekanoniczny pastoralny kanonicznie gregoriański
canterbury: ludźmierski sandomierski krakowski koprzywnicki koprzywnica sandomierszczyzna krakowiecki opole czerniowiecki krakowie-łagiewnikach
canvas: płótno namalować karton obraz olejny pastel pędzel tempera deska malować
capitol: capitol torwar kongresowy audioriver miastoprojekcie wfd wawel pkin farny exploseum
cardiff: lubin cracovia cresovia sandecja kraków lublinianka limanovia legnica mielec bielsko-biała
carefully: starannie niestarannie wnikliwie dobrać możliwie zawczasu sposób rzetelnie skrupulatnie wyważyć
carlo: carlo gian-carlo storace venturi venturini matteucci enrico pierangelo matteo caccia
carnegie: artnoble carnegie organik gimpel komeda 75-lecie bachowski mickiewicz chopinowski koryfeusz
carol: carol małgorzata bernadetta magda bernadette anna suzanna kate zuzanna georgy
caroline: caroline karoline marthą magdalene centka daniela christiane henrieta daniell henriettą
carpenter: kuśniewicz bryliński kalenik ciunelis cieśla tkacz kowalski lutkiewicz krawiec stolarz
carroll: sobolewski antoniuk duchnowski kownas piechaczek wasielewski chróścielewski jujka chrapkiewicz bajor
casey: rozmus ostrouch wierka reczek nochal radek kloszard mychal rozenek brunov
casino: kasyno casino casinos kasynowy caesars waldorf-astoria astoria boardwalk starplex bellagio
casting: montaż casting charakteryzacja ekranowy superprodukcja podkładać gorący castingowy obsada spellinga
catalog: catalog katalog minikatalog katalogowy katalogować catalogo podkatalog skatalogować nifc collection
catalogue: katalog kolekcja catalog minikatalog collection catalogo katalogowy katalogować skatalogować exlibris
cdp: 2190 462 natywny 4068 2155 728 4069 3007 859 4066
ceiling: sufit sufitowy żyrandol kasetonowy ściana plafon podest boazeria strop balustrada
celebrate: świętować uświetnić uczcić okazja uświetniać obchód uroczysty uroczystość rocznica dziękczynienie
cent: cent równowartość bilon miesięcznie brutto 310 procent 3333 bln pln
centres: ośrodek centrum placówka zamiejscowy ponadregionalny ogólnomiejski południowowschodniej ponadlokalny ośr pozamiejski
certificate: certyfikat uprawniać pomaturalny zaświadczenie zaświadczyć dyplom egzaminacyjny certyfikacyjny certyfikacja baccalaureate
certification: certyfikacyjny certyfikacja certyfikat certyfikować cmas haccp certified 9001 bhp ccp
chad: chad rudda czad luongo kongo seretse darra brent machar ruanda
chambers: lindnera sternal 1927-28 komora strzelniczy prochownik zwoliński kolanko puszkarski szambo
chang: chang shun ning shuna kwong dong wong shuo hùng shimoda
chaos: chaos wormhole destrukcja zapanować geonosis odmęt autodestrukcja ravenloft zamęt anarchia
charleston: przytór dziwnówek studzianna michalin gdynia-oksywie świnoujski darłówko głuszynie przysiersk kazuniu
cheese: śliwka masło wędlina oscypek ser mięsny ciasto pieczywo ziemniak marmolada
chef: kucharz chef restaurant restaurants restaurator konsjerż kulinarny kuchnia cuisine boyard
chelsea: chelsea sandecja łódzko-mazowiecka płock spadkowicz widzew baumit białystok łęczna kolejorza
cherry: jagodowy gruszka owieczka czereśnia mandarynka czereśniak jabłoń czereśniowy tree sad
chest: piersiowy dłoń klatka szyja głowa przedramię brzuch kark plecy pierś
chicken: kurczak potrawka zupa pulpet królik mięsny rosół bezmięsny bekon klopsik
chip: chip srać chipowy smart flash pin digit mmc stick micra
chronicle: kronika kronikarski kronikarz dziejopis nekrolog chronicle wawoczny lokacja latopis historyja
churchill: piłsudski nowaka-jeziorańskiego nowak-jeziorański piłsudska łastowski wieniawa-długoszowski korboński jeziorański cyrankiewicz gomułkowski
cia: cia sdece kontrwywiad agentura wywiad aib kontrwywiadowczy agenturalny mi5 wywiadowczy
circles: krąg wokół milowy przecięcie sfera styczność owal równoległościan kwadryga szeroko
circular: sześciokątny prostopadłościenny równoboczny prostopadle prostopadłościan prostopadły pięciokątny czworokątny kształt wielokątny
circulation: obieg cyrkularz prenumerator prenumerata dodrukować kwartalnie czytelniczy prenumerować recenzyjny gazeta
circus: objazdowy momus cyrk circus wodewilowy hoopera trupa linoskoczek cyrkowiec mariensztat
cites: cytować żródło zaczerpnąłem ksiązek zacytować żródłem przytoczyć odnośnik przypis przytaczać
civilization: cywilizacja cywilizacyjny sumer sumeru cywilizacyjnie olmekowie miasto-państwo jōmon barbarzyński starożytny
claire: danielle adrianne madeleine melissą lianne annabelle monique marielle chabert madelaine
clara: clara 1957 kanka clary felicitas clarita feliciana carmen 1959 felina
clause: derogacja klauzula derogat definiendum orzec kontrasygnata ustawowy paragraf habeas legit
clergy: duchowieństwo kler celibatariusz duchowny wyświęcać obrządek protestancko-prawosławną jednowierca starowierca kleryk
cliff: klif skalniak kopec turbaczyk skall okrąglicy skałka lej chrobacza wisielec
climbing: wspinać wspinaczka wspinaczkowy wspinacz paralotniarz paralotniarstwo skialpinizm zjazdowy trawersować paralotnia
climb: wspinać zejść trawers trawersować wspiąć wspinaczka zjazdowy rozbieg paralotnia zaśnieżyć
clothes: ubrać ubranie odzież bielizna odzienie suknia ubierać pościelić przebierać ubranko
cluster: cluster ia metar 4569 uderzeniowy sagdeg rdzeń libracyjny dwarf iax
cnn: cnn cnbc msnbc euronews reporter reuters news medium tvn24 ictv
cohen: cohen perelman friedman kelman biderman żydowicz huberman berman rotman liberman
coin: moneta nominał mennica dwuzłotówka banknot halerz stater kolekcjonerski pens menniczy
collector: kolekcjoner zbieracz kolekcjonerka historyk-amator antykwariusz kolekcjonerski bibliofil zbieraczka numizmatyka kolekcjonerstwo
collect: zbierać pozyskać odszukać gromadzić spreparować pobrać skrytka odszukiwać zmieścić znalazca
collegiate: parafiada senior jednosekcyjny pzszach chłopięco-męski curlingowy klerycki siatkarski trampkarz patronat
colombian: kolumbijski kostarykański wenezuelski boliwijski nikaraguański chilijski peruwiański ekwadorski gwatemalski salwadorski
colored: ciemnoniebieski kolor jednokolorowy różnokolorowy jasnoniebieski ciemnogranatowy wielokolorowy ciemnobłękitny czerwono-białe niebieski
comedian: komik kabareciarz konferansjer dubbingowy komediowy aktor bejsbolista konferansjerka satyryk johnnie
commitment: zaangażować gotowość poszanować humanitarność niezłomność dobrowolność motywować współdecydować respektować otwartość
compact: kompaktowy compact zewrzeć rozsypny kompakt subkompaktowy jednobryłowy rozszerzalny przekształtnik p8
comparable: porównywalny porównywalnie nieporównywalnie nieporównywalny porównywalność porównać wynosiłaby przykładowy podobny pokrewny
compensation: kompensata odszkodowanie rekompensata wynagrodzenie odszkodowawczy wypłata wypłacić nienależny wypłacać wydatkować
complaint: wniosek ekpc wnioskodawca nieprawomocny rozpatrzyć pozew polubownie skarga zażalenie mediacyjny
complement: zaszeregować typ bazowy pełnowartościowy liniowy wypornościowy podwersja przedziałowy działowy zestawić
compromise: kompromis kompromisowy uzgodnić porozumieć propozycja kontrpropozycja zmienie rozwiązać uzgodnienie trójporozumienie
concentrated: skoncentrować intensyfikować intensywny koncentrować intensywnie koncentracja zintensyfikować rozproszyć opanować opanowywać
concerto: concerto fortepianowy concertos skrzypcowy concertante concertina wiolonczelowy concerti symfonia prawykonanie
confederation: konfederacja rekonfederacja konfederacyjny państwo federacja confederacy aiacr clubs założycielski zwc
configuration: konfiguracja konfiguracyjny podwersja konfigurowalny wyposażeniowy konfigurować skonfigurować payload p6 inercyjny
confirm: potwierdzić potwierdziłeś potwierdzałoby potwierdzałyby potwierdzać sprawdzić wskazać potwierdzaja dotarłem upewnić
connor: seniuk szcześniak sipowicz michalewicz pawełkiewicz więckiewicz chrapkiewicz rogacewicz marzena dylewicz
conquest: podbój rekonkwista najazd najeźdźca podbić ekspansja łupieski miasto-twierdza ottomański maurjów
consciousness: świadomość samoświadomość nieświadomość podświadomość samoświadomy mentalny świadomościowy umysł transcendencja jaźń
consent: zgoda 5-letnią 3-letnią zobowiązywać przymusić oświadczenie 2-letnią samowolny dobrowolny dobrowolnie
consistently: generalnie wybitnie przynajmniej oceniać konsekwentnie przypadek minimalnie zarówny ostro werbalnie
console: konsola consolation console consoles konsolowy pre-order colecovision gameboy silverlight cartridge
constantly: bezustannie nieustannie potrafiać ciągło potrafić nawzajem sprawiać bacznie pomagać odreagowywać
consultant: konsultant konsultantka consultant dyrektor wicedyrektor koordynator dyrektorski rzeczoznawca dyrektorować stażysta
consulting: konsulting konsultingowy konsultant consultant doradztwo consulting consultants konsultacyjny pricewaterhousecoopers associates
consumption: konsumpcja konsumować konsumpcyjny kilokaloria spożyć kaloria zużywać zużyć wysokokaloryczny przerobowy
convert: konwersja konwers konwertować rekonwersja zamienić skonwertować przekonwertować przechrzcić konwertor odłączyć
convince: namówić doradzić dowiedzieć poprosić nakłonić chcieć namawiać skontaktować przekonać podsunąć
convoy: konwój eskortować pq-17 transportowiec eskorta z-32 rajdery desantowy wypłynąć nadpłynąć
coordinator: koordynator koordynatorka ds wiceprzewodnicząca wiceprzewodniczący zastępczyni zastępca ministra-członka współprzewodniczyć wicedyrektor
copa: interclubes sudamericana sudamericano pre-libertadores libertadores recopa supercopa campeones merconorte interamericana
cornell: umk prof uw uj ujk wisconsin-madison sggw redzik doc umcs
costume: kostium kostiumowy kostiumolog kostiumologia scenografia fryzura peleryna rekwizyt kostiumograf strój
cox: groblewski kuropaczewski rembiszewski michalczewski kwiatkowski demirski dobiszewski graboś lewandowski heliński
crater: krater kraterowy kaldera superwulkanu chicxulub wulka meteorytowy silverpit wulkan 25143
crawford: kiersznowski popowski daniec bogacki dziewiątkowski haniszewski staniek mecwaldowski świerczyńska janiec
crazy: kumpel zwariowany cholerny diddley dorwać funny dzieciak forsa superszpieg diddle
cream: czekoladowy słodycz krem serowy herbatnik deserowy czekolada śmietankowy czekoladka dżem
criterion: kryterium kryteriow wyznacznik wynikac sens zdroworozsądkowy emmerlinga watpliwości widzimisię źródel
critically: krytycznie kaena introdukcja leacha meara natterera iguana sklasyfikować incepcja endangered
crop: uprawa rzepak obsiewać zasiew obsiać zboże uprawowy ziemiopłód pszenica kukurydza
cruise: transatlantyka transatlantyk illustrious rejs atlantyk glorious spithead cruises transatlantycki cruise
cry: łza lękać hej krzyk wołać cóżeś zawołać prayer father okrzyk
css: css css3 div footer wikitable templatedata javascript mypage xhtml monobooka
cuisine: potrawa kuchnia kulinarny przekąska przyrządzać zupa sałatka makaron deser danie
curtis: wojnarowski konarowski hudziak stepanek pindera simka franczyk kołodyński dolański stec
customer: klient usługodawca sprzedażowy hostingowy dostawca opcyjny usługa outsourcingowy reklamodawca prepaid
customs: zwyczaj meldunkowy traktatowy obyczaj wriop waluta wizowy narodowy przodownictwo obcy
cyclone: cyklon huragan superwulkanu uragan antycyklon diamir saffira-simpsona tornado latawiec 470
darkness: ciemność mrok światłość zmierzch półmrok cień otchłań aryman przestworze cisza
darwin: darwin darwinowski strzygowski dybowski korzybski czekanowski sabath smoluchowski znaniecki libelt
dear: cóżeś wasz wdzięczny mój dobranoc obiecywałem śpiewałem dziękować umarłem twój
deceased: zmarły 80-letni śmierć tragicznie 12-letniego 33-letni przedśmiertny almę opiekun 12-letni
decrease: zmniejszyć zwiększyć wzrostowy zmniejszać wzrosnąć zwiększać wzrost ujemny zmniejszyłoby wzrastać
deeply: głęboki pogłębiać pokładać zagłębiać mocno biernie zaznawać zakorzenić tkwić interesować
deer: popielica zwierzyna sierpówka łowiec kozica żołędnica sęp raróg karczownik kułan
defining: definiowalny definiować wyznacznik niedefiniowalny dookreślać zawężać zdefiniować przedefiniować pokreślić implikować
delayed: opóźnić wstrzymać opóźnienie opóźniać przerwać trwać przedłużać wielomiesięczny zaplanować wznowić
delay: opóźnić opóźnienie opóźniać wstrzymać odroczyć wygaszać natychmiastowy wygasić nadgodzina bezzwłoczny
deliver: dostarczyć zaoferować dostarczać dostarczyciel wypróbować pobrać przesłać wysłać potrzymać bezzwłoczny
demon: demon gallifrey śmierciożerca corwina nekromanta lokiego czarnoksiężnik tezcatlipoca goblins nieśmiertelny
demonstration: demonstracyjny zademonstrować demonstracja demonstrować demonstrator pierwszomajowy pokazowy pokaz demonstratio happeningowy
demo: snakepit deaf bleeding lunatic blasphemy incantation beloved homesick eternal soilwork
depot: elektrowozownia wagonownia parowozownia lokomotywownia składnica dowozowy dworzec dworcowy rynek-kopalnia parowozowy
destination: turysta wycieczka atrakcja przylot turystyczny wycieczkowy szlak obsłużyć odpoczynek tranzytowy
destroyer: niszczyciel eskortowiec eskortowy hms sealion okręt kontrtorpedowiec trałowiec lotniskowiec pancernik
devon: żurawica siemiechów gniewczyna przysiek jarosławiec lubieszowie sołotwina rodatycze jaryczów uchanie
dialect: dialekt dialektalny etnolekt język zapożyczenie makrojęzyk etnolektu etnolektów sylabiczny gwara
diana: diana elene eliza roxana celie roxane larysa andress georgina natalia
diary: notatka wspomnienie pamiętnik wspomnieniowy autobiograficzny zapisek autobiografia pamiętnikarski kolacjonować dziennik
diet: dieta jadłospis odżywić dietetyczny żywić odżywiać koszatniczka wegański żywieniowy odchudzać
differential: różnicowy jednopunktowy różniczkowy nieinercjalny torsyjny różniczkować naviera-stokesa transmitancja parametryczny podukład
dimension: czasoprzestrzeń continuum wymiar skończoność przestrzeń czterowymiarowy czasoprzestrzenny nieskończoność hiperprzestrzeń wymiarowy
dinner: kolacja obiad śniadanie urodzinowy bankiet obiadowy gość poczęstunek czwartkowy poczęstować
diploma: dyplom magister licencjat podyplomowy licencjacki bakalaureat absolwent aspirantura dyplomowy magisterium
diplomat: dyplomata dyplomatka ambasador dyplomant ambasadorski prawnik dyplomatyka radca msz dyplomacja
dirty: brudny parszywy cwany cholerny szuler zabójczy gromit rozrabiać prod grubas
discography: dyskografia bublé tangled foxy discografia koяn p-funk ub40 jarboe audioslave
discrimination: dyskryminacja dyskryminacyjny dyskryminować równouprawnić penalizacja dekryminalizacja desegregacja międzyetniczny prawnokarny rasowy
disk: dyskowy dysk pendrive partycja dyskietka onedrive usb scsi dżojstik wielordzeniowy
